symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-01-07 00:00:00+00:00,96.45,100.13,96.43,98.68,81094428,89.5011937046,92.9160655847,89.4826346183,91.5705318276,81094428,0.0,1.0
AAPL,2016-01-08 00:00:00+00:00,96.96,99.11,96.76,98.55,70798016,89.9744504054,91.9695521832,89.7888595424,91.4498977666,70798016,0.0,1.0
AAPL,2016-01-11 00:00:00+00:00,98.53,99.06,97.34,98.97,49739377,91.4313386803,91.9231544674,90.3270730452,91.839638579,49739377,0.0,1.0
AAPL,2016-01-12 00:00:00+00:00,99.96,100.69,98.8399,100.55,49154227,92.7583133511,93.4357200013,91.7189117226,93.3058063971,49154227,0.0,1.0
AAPL,2016-01-13 00:00:00+00:00,97.39,101.19,97.3,100.32,62439631,90.373470761,93.8996971589,90.2899548726,93.0923769046,62439631,0.0,1.0
AAPL,2016-01-14 00:00:00+00:00,99.52,100.48,95.74,97.96,63170127,92.3500134524,93.2408495951,88.8423461408,90.9024047207,63170127,0.0,1.0
AAPL,2016-01-15 00:00:00+00:00,97.13,97.71,95.36,96.2,79833891,90.132202639,90.6704161418,88.489723501,89.2692051258,79833891,0.0,1.0
AAPL,2016-01-19 00:00:00+00:00,96.66,98.65,95.5,98.41,53087747,89.6960641108,91.5426931982,88.6196371052,91.3199841625,53087747,0.0,1.0
AAPL,2016-01-20 00:00:00+00:00,96.79,98.1897,93.42,95.1,72334416,89.8166981718,91.1155558269,86.6894921295,88.2484553791,72334416,0.0,1.0
AAPL,2016-01-21 00:00:00+00:00,96.3,97.88,94.94,97.06,52161463,89.3620005574,90.8281683754,88.0999826886,90.0672458369,52161463,0.0,1.0
AAPL,2016-01-22 00:00:00+00:00,101.42,101.46,98.37,98.63,65800467,94.1131266514,94.150244824,91.2828659899,91.5241341119,65800467,0.0,1.0
AAPL,2016-01-25 00:00:00+00:00,99.44,101.53,99.21,101.52,51794525,92.2757771072,94.2152016261,92.0623476147,94.2059220829,51794525,0.0,1.0
AAPL,2016-01-26 00:00:00+00:00,99.99,100.88,98.07,99.93,75077002,92.7861519806,93.6120313211,91.0044796953,92.7304747217,75077002,0.0,1.0
AAPL,2016-01-27 00:00:00+00:00,93.42,96.6289,93.34,96.04,133369674,86.6894921295,89.6672047316,86.6152557843,89.1207324354,133369674,0.0,1.0
AAPL,2016-01-28 00:00:00+00:00,94.09,94.52,92.39,93.79,55678825,87.3112215207,87.7102418762,85.7336991848,87.0328352261,55678825,0.0,1.0
AAPL,2016-01-29 00:00:00+00:00,97.34,97.34,94.35,94.79,64416504,90.3270730452,90.3270730452,87.5524896426,87.9607895414,64416504,0.0,1.0
AAPL,2016-02-01 00:00:00+00:00,96.43,96.71,95.4,96.47,40943541,89.4826346183,89.7424618266,88.5268416736,89.519752791,40943541,0.0,1.0
AAPL,2016-02-02 00:00:00+00:00,94.48,96.04,94.28,95.42,37357215,87.6731237036,89.1207324354,87.4875328406,88.54540076,37357215,0.0,1.0
AAPL,2016-02-03 00:00:00+00:00,96.35,96.84,94.08,95.0,45964294,89.4083982731,89.8630958876,87.3019419775,88.1556599476,45964294,0.0,1.0
AAPL,2016-02-04 00:00:00+00:00,96.6,97.33,95.19,95.86,46471652,90.1229230959,90.8039762414,88.8074642805,89.4325404552,46471652,0.52,1.0
AAPL,2016-02-05 00:00:00+00:00,94.02,96.92,93.69,96.52,46418064,87.7159133486,90.4214669405,87.4080400088,90.0482871347,46418064,0.0,1.0
AAPL,2016-02-08 00:00:00+00:00,95.01,95.7,93.04,93.13,54021375,88.6395333679,89.2832685328,86.8016228244,86.8855882807,54021375,0.0,1.0
AAPL,2016-02-09 00:00:00+00:00,94.99,95.94,93.93,94.29,44331195,88.6208743776,89.5071764163,87.6319478923,87.9678097175,44331195,0.0,1.0
AAPL,2016-02-10 00:00:00+00:00,94.27,96.35,94.1,95.92,42343601,87.9491507272,89.8896857172,87.7905493097,89.488517426,42343601,0.0,1.0
